ID_FUSIONE,DATA_INIZIO,DATA_FINE,ENE_REQUIRED,ENE_ACTUAL,TON_CARICATE
1588,2023-18-05 11:37:09,2023-18-05 19:11:18,5057.088,5163.230932911931
1591,2023-19-05 04:53:08,2023-19-05 13:03:58,5554.777599999999,5709.480093454436
1595,2023-20-05 06:22:22,2023-20-05 13:36:35,5675.472,5181.040326879778
1597,2023-20-05 20:08:53,2023-21-05 03:01:50,5634.7552000000005,5022.70852173207
1598,2023-21-05 03:09:06,2023-22-05 13:37:38,5714.3712000000005,5661.469923424651
1607,2023-28-05 07:50:06,2023-28-05 11:19:33,3226.992,2587.473208775415
1608,2023-28-05 11:25:07,2023-28-05 16:45:15,5268.307199999999,3986.3640573941893
1609,2023-28-05 16:50:01,2023-28-05 23:42:37,5567.1359999999995,5095.099853450725
1610,2023-29-05 00:00:49,2023-29-05 08:14:50,5612.5792,4799.171287181934
1612,2023-29-05 21:50:09,2023-30-05 04:03:07,4085.5904,4490.760092662936
1613,2023-30-05 04:04:36,2023-30-05 07:24:21,2457.39552,2442.2934102214936
1614,2023-30-05 07:27:39,2023-30-05 14:09:41,5153.7919999999995,4779.296868075142
1615,2023-30-05 16:10:26,2023-30-05 23:52:27,4821.1071999999995,5502.173811913308
1616,2023-30-05 23:54:25,2023-31-05 06:39:20,5456.6208,4970.259013203009
1622,2023-03-06 17:21:45,2023-04-06 01:17:55,4774.8832,5155.0925701411725
1623,2023-04-06 01:40:06,2023-04-06 10:15:47,5628.2112,5891.684903044336
1624,2023-04-06 10:20:01,2023-04-06 18:21:31,5328.2912,5401.294455572565
1625,2023-04-06 18:23:33,2023-05-06 02:14:40,5378.460799999999,5178.309923253111
1626,2023-05-06 02:18:24,2023-05-06 10:36:20,5411.542399999999,5243.775121502348
1627,2023-05-06 14:11:15,2023-05-06 23:58:23,5833.9776,6171.204843572226
1628,2023-06-06 00:01:16,2023-06-06 07:51:14,4691.2544,5008.659368610477
